user_id,user_name,country,language,account_type,followers_count,verified,join_date,age_group,gender,industry
U001,NGOC.TRINH446,DE,fre,media,47302,,11/7/2023,18-24,f, SPORTS 
U002,JOHN.SMITH 😀,france,VIET,PERSONAL,1087,0,19-05-2022,45 - 54,FEMALE, Technology 
U003, news.today372  😀,Japan,,Media,443789,FALSE,not_a_date,25 to 34,F, Food & Beverage 
U004,movie_buff,Vietnam,ko,Influencer,157486,no,5/8/2024,45 - 54,M, education 
U005,chef.tasty606,France,german,personal,2030,no,5/12/2019,25_34,, Sports 
U006, travel.with.me  ⭐,United Kingdom,thai,influencer,null,FALSE, 2019-07-31 ,25 to 34,M,Entertainment
U007,NEWS.TODAY,U.K.,VIET,Personal,245,1,3/24/2021,25 - 34,non-binary,travel
U008,football_fever,United States,jp,personal,"2,276",no,10/11/2018,18 - 24,other,Technology
U009, lifeoflinh414 ,United States,ger,publisher,57295,, 2018-01-01 ,25 to 34,female, Beauty & Fashion 
U010, brandX_official23 ,JP,JA,user,759,FALSE, 2020-10-05 ,35_44,non-binary, retail  🔥
U011, REVIEW.CHANNEL665 ,France,french,individual,1397,,26-04-2022,45_54,OTHER, TRAVEL 
U012,brandx_official31,France,JA,brand page,435320,, 2023-06-14 ,35_44,non-binary, TECHNOLOGY 
U013, chef.tasty120 ,U.S.A,TH,Brand,"80,635",FALSE,27/08/2022,35 - 44,Female, Food & Beverage 
U014, lan.tran ,vietnam,french,Personal,254,FALSE, 2019-08-25 ,25 to 34,non-binary,
U015, hoa.le455 ,VN,FR,creator,NA,0,14/06/2018,25_34,m, Food & Beverage  🔥
U016, NEWS.TODAY ,South Korea,german,media,"517,253",no,not_a_date,25 - 34,,Food & Beverage
U017, CHEF.TASTY777  🔥,Thailand,eng,personal,275,FALSE, 2022-03-15 ,45-54,M, EDUCATION 
U018,sara.kim85,Germany,TH,,499035,no,26-11-2024,45 - 54,FEMALE, sports  ⭐
U019,travel.with.me45,Germany,,user,2123,,15/10/2023,45 to 54,male,Sports
U020, hoa.le165  ⭐,Vietnam,thai,Personal,4828,TRUE, 2022-10-30 ,,female, Technology  😀
U021,MOVIE_BUFF,Japan,fr,brand page,66958,TRUE,7/28/2023,25-34,other, Sports 
U022, sara.kim456 ,JP,ko,publisher,"385,623",FALSE,29-11-2019,35-44,Female,Retail 😀
U023, lan.tran419 ,france,EN,Personal,"3,286",FALSE, 2024-03-27 ,18 - 24,female,
U024,lifeoflinh359,Thailand,de,,NA,FALSE,28/10/2021,25_34,M,Sports
U025, chef.tasty ,JP,french,publisher,632265,FALSE,10/7/2021,18 - 24,female,Technology
U026, DEAL.HUNTER937 ,vietnam,fre,Influencer,287869,0, 2018-02-07 ,35 - 44,female,Entertainment
U027, music_fan  😀,South Korea,FR,Creator,498587,TRUE,11/5/2018,18-24,other,Retail
U028,movie_buff953 ⭐,TH,,brand page,254350,0,18/07/2021,45-54,non-binary,SPORTS
U029,foodlover787,germany,JA,personal,4226,FALSE,10/8/2024,25_34,female, Retail 
